FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,UNIT_MULT_ID,UNIT_MULT_NAME,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,AFG,Afghanistan,VDEM_CORE_V2X_CORR,Political corruption index,SCORE,Score,VDEM_CORE,V-Dem Core,0,Units,A,Normal value,PU,Public,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.513,0.526,0.526,0.526,0.526,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.494,0.53,0.534,0.534,0.534,0.534,0.565,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.556,0.556,0.712,0.89,0.89,0.895,0.852,0.791,0.791,0.791,0.791,0.805,0.919,0.919,0.931,0.942,0.955,0.957,0.957,0.957,0.958,0.958,0.961,0.941,0.927,0.904,0.905,0.898,0.896,0.899,0.874,0.663,0.567,0.618,0.674
A,Annual,AGO,Angola,VDEM_CORE_V2X_CORR,Political corruption index,SCORE,Score,VDEM_CORE,V-Dem Core,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.246,0.4,0.4,0.4,0.412,0.436,0.531,0.531,0.538,0.538,0.538,0.538,0.538,0.589,0.61,0.61,0.61,0.678,0.767,0.787,0.787,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.84,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.861,0.861,0.861,0.861,0.722,0.63,0.602,0.623,0.578,0.564,0.579,0.549
A,Annual,ALB,Albania,VDEM_CORE_V2X_CORR,Political corruption index,SCORE,Score,VDEM_CORE,V-Dem Core,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361,0.348,0.353,0.461,0.312,0.312,0.363,0.434,0.465,0.465,0.496,0.496,0.534,0.505,0.465,0.465,0.465,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.517,0.536,0.464,0.464,0.464,0.464,0.294,0.051,0.051,0.051,0.051,0.058,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.061,0.061,0.061,0.061,0.068,0.068,0.068,0.073,0.087,0.087,0.087,0.087,0.092,0.13,0.507,0.683,0.591,0.683,0.683,0.683,0.709,0.75,0.77,0.74,0.729,0.745,0.745,0.745,0.722,0.722,0.722,0.756,0.756,0.767,0.767,0.765,0.758,0.765,0.765,0.765,0.763,0.742,0.689,0.689,0.614,0.558,0.593,0.626
A,Annual,ARE,United Arab Emirates,VDEM_CORE_V2X_CORR,Political corruption index,SCORE,Score,VDEM_CORE,V-Dem Core,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.26,0.26,0.26,0.223,0.223,0.223,0.263,0.249,0.224,0.225,0.225,0.225,0.225,0.225,0.211,0.211,0.211,0.211,0.224,0.224,0.211,0.203,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.136,0.136,0.136,0.136,0.136,0.121,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.108,0.116,0.121,0.105
A,Annual,ARG,Argentina,VDEM_CORE_V2X_CORR,Political corruption index,SCORE,Score,VDEM_CORE,V-Dem Core,0,Units,A,Normal value,PU,Public,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.259,0.246,0.246,0.246,0.246,0.246,0.22,0.22,0.22,0.22,0.22,0.22,0.229,0.24,0.273,0.306,0.335,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.384,0.44,0.469,0.457,0.457,0.457,0.457,0.457,0.457,0.457,0.457,0.457,0.457,0.411,0.411,0.352,0.242,0.242,0.242,0.241,0.141,0.124,0.124,0.193,0.425,0.425,0.425,0.413,0.413,0.413,0.414,0.424,0.424,0.437,0.515,0.515,0.515,0.515,0.515,0.515,0.248,0.327,0.327,0.327,0.327,0.327,0.513,0.629,0.629,0.629,0.608,0.608,0.608,0.608,0.608,0.608,0.6,0.46,0.46,0.518,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.545,0.545,0.545,0.554,0.554,0.533,0.436,0.41,0.408,0.409,0.48,0.48,0.48,0.404,0.387
A,Annual,ARM,Armenia,VDEM_CORE_V2X_CORR,Political corruption index,SCORE,Score,VDEM_CORE,V-Dem Core,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343,0.401,0.423,0.496,0.496,0.596,0.669,0.682,0.785,0.769,0.81,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.856,0.856,0.852,0.852,0.849,0.845,0.845,0.845,0.845,0.812,0.35,0.294,0.303,0.312,0.32,0.374,0.374
A,Annual,AUS,Australia,VDEM_CORE_V2X_CORR,Political corruption index,SCORE,Score,VDEM_CORE,V-Dem Core,0,Units,A,Normal value,PU,Public,0.064,0.064,0.064,0.064,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.032,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.038,0.037,0.037,0.035,0.03,0.034,0.032,0.032,0.032,0.032,0.027,0.027
A,Annual,AUT,Austria,VDEM_CORE_V2X_CORR,Political corruption index,SCORE,Score,VDEM_CORE,V-Dem Core,0,Units,A,Normal value,PU,Public,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.105,0.062,0.062,0.062,0.062,0.062,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.119,0.119,0.119,0.119,0.119,0.119,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.063,0.063,0.063,0.166,0.059,0.059,0.059,0.059,,,,,,,,0.035,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.042,0.042,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.075,0.088,0.088,0.077,0.093,0.093,0.079,0.061,0.061,0.061,0.061,0.066,0.062,0.044,0.044,0.044,0.044,0.05,0.055,0.076,0.076,0.109,0.111,0.108,0.108
A,Annual,AZE,Azerbaijan,VDEM_CORE_V2X_CORR,Political corruption index,SCORE,Score,VDEM_CORE,V-Dem Core,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.66,0.634,0.841,0.929,0.929,0.929,0.929,0.953,0.953,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.957,0.956,0.956,0.951,0.951,0.948,0.947,0.947,0.947,0.942,0.944,0.939,0.924,0.935,0.912,0.912,0.88,0.902
A,Annual,BDI,Burundi,VDEM_CORE_V2X_CORR,Political corruption index,SCORE,Score,VDEM_CORE,V-Dem Core,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.359,0.378,0.396,0.396,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.413,0.384,0.384,0.384,0.384,0.384,0.383,0.303,0.303,0.303,0.303,0.384,0.421,0.421,0.421,0.421,0.445,0.481,0.478,0.478,0.478,0.478,0.478,0.478,0.498,0.498,0.549,0.549,0.569,0.849,0.853,0.85,0.856,0.856,0.871,0.871,0.874,0.883,0.892,0.892,0.947,0.946,0.946,0.924,0.891,0.764,0.722,0.793,0.777
