ID_LEAD,DATE_CREATION,CODE_POSTAL,VILLE,YEAR_NAISSANCE,GENDER
1701823856645,2023-07-04 20:52:50.000,26800,MONTOISON,1974,H
1646614769789,2022-12-03 12:47:05.000,38800,CHAMPAGNIER,1959,H
1514036911882,2021-06-14 15:22:15.000,83250,LA LONDE-LES-MAURES,1959,H
1679530301702,2023-04-01 08:49:37.000,27120,le plessis hebert,1966,F
1759058170804,2024-03-21 14:04:27.000,75015,Paris,1953,H
1734444354225,2023-11-27 10:41:05.000,41120,chailles,1944,H
1754368125235,2024-03-01 14:17:06.000,07330,THUEYTS,1980,F
1754368125235,2024-03-01 14:17:06.000,07330,THUEYTS,1980,F
1762666629647,2024-04-05 11:43:04.000,84370,bedarrides,1988,H
1767132775155,2024-04-23 18:26:30.000,57570,CATTENOM,1973,H
1745421755561,2024-01-20 19:25:57.000,29410,Plounéour-ménez,1977,H
1745421755561,2024-01-20 19:25:57.000,29410,Plounéour-ménez,1977,H
1765795549639,2024-04-18 11:00:08.000,92160,ANTONY,1996,H
1773895470875,2024-05-23 14:37:01.000,92220,BAGNEUX,1953,F
1773147696540,2024-05-20 16:01:36.000,21121,FONTAINE-LES-DIJON,1995,F
1754960787338,2024-03-04 09:22:56.000,75010,PARIS-10E-ARRONDISSEMENT,1985,H
1754960787338,2024-03-04 09:22:56.000,75010,PARIS-10E-ARRONDISSEMENT,1985,H
1753876360181,2024-02-28 13:20:24.000,38290,NON REPONSE,1985,F
1756281464256,2024-03-10 05:34:07.000,59133,PHALEMPIN,1979,H
1756281464256,2024-03-10 05:34:07.000,59133,PHALEMPIN,1979,H
1764541808095,2024-04-13 09:01:20.000,78250,MEULAN EN YVELINES,1970,F
1749854680376,2024-02-10 15:56:12.000,95280,JOUY-LE-MOUTIER,1966,H
1749854680376,2024-02-10 15:56:12.000,95280,JOUY-LE-MOUTIER,1966,H
1753012128175,2024-02-24 19:06:50.000,59800,lille,1967,H
1751868792949,2024-02-19 21:59:58.000,89690,CHEROY,1973,H
1502250234705,2021-04-28 09:36:05.000,76640,HATTENVILLE,1991,F
1502250234705,2021-04-28 09:36:05.000,76640,HATTENVILLE,1991,F
898928117659,2018-11-09 12:49:25.000,06250,MOUGINS,1973,F
777145626510,2017-12-22 21:54:54.000,95800,Cergy,1987,H
777145626510,2017-12-22 21:54:54.000,95800,Cergy,1987,H
1755289783346,2024-03-05 15:44:16.000,54370,einville au jard,1949,H
1755289783346,2024-03-05 15:44:16.000,54370,einville au jard,1949,H
1773979201841,2024-05-23 19:45:42.000,77140,nemours,2001,H
1727314378427,2023-10-23 19:20:47.000,33340,NON REPONSE,1959,H
1745103503792,2024-01-19 13:03:23.000,52000,x,1962,F
1755043283334,2024-03-04 14:35:15.000,57070,metz,1971,F
1755043283334,2024-03-04 14:35:15.000,57070,metz,1971,F
1755043283334,2024-03-04 14:35:15.000,57070,metz,1971,F
1755043283334,2024-03-04 14:35:15.000,57070,metz,1971,F
1752252621625,2024-02-21 15:47:11.000,53200,AZE,1954,H
1761929105563,2024-04-02 12:21:50.000,34660,COURNONTERRAL,1971,H
1761929105563,2024-04-02 12:21:50.000,34660,COURNONTERRAL,1971,H
1770631939153,2024-05-09 11:37:23.000,59500,Douai,1960,H
1770631939153,2024-05-09 11:37:23.000,59500,Douai,1960,H
1749593360724,2024-02-09 14:09:22.000,76100,Rouen,1992,F
1749593360724,2024-02-09 14:09:22.000,76100,Rouen,1992,F
1771083938173,2024-05-11 19:29:54.000,91170,NON REPONSE,1995,H
1732765536007,2023-11-19 12:00:34.000,45330,MALESHERBES,1967,H
1769449208384,2024-05-03 16:19:47.000,59250,HALLUIN,1988,H
1763682268975,2024-04-09 16:40:43.000,91470,limours,1976,F
1741933459299,2024-01-05 18:07:11.000,83720,Trans en Provence,1973,H
1770903015068,2024-05-10 19:10:00.000,34070,Montpellier,1991,F
1736096126600,2023-12-04 21:04:24.000,38110,LA TOUR-DU-PIN,1982,H
1769434512241,2024-05-03 15:24:51.000,75015,NON REPONSE,1956,H
1756140554179,2024-03-09 13:22:52.000,93450,L'ILE SAINT DENIS,1989,H
1742850671518,2024-01-09 15:34:02.000,93230,ROMAINVILLE,1986,H
1756627008862,2024-03-11 15:36:38.000,37800,SAINTE MAURE DE TOURAINE,1960,H
1765705273332,2024-04-17 22:24:59.000,38470,L'Albenc,1967,H
1758014127166,2024-03-17 12:03:25.000,77500,NON REPONSE,1970,F
1741833550226,2024-01-05 12:27:31.000,83000,Toulon,1978,F
1045769632072,2020-05-09 18:20:15.000,60600,CLERMONT,1973,H
1045769632072,2020-05-09 18:20:15.000,60600,CLERMONT,1973,H
1754209802081,2024-02-29 18:37:10.000,27120,PACY-SUR-EURE,1963,H
1633187928955,2022-10-11 23:10:48.000,95000,BOISEMONT,1978,F
