NEAREST_AGENCY_DISTANCE,NEAREST_AGENCY_DUREE,NEAREST_AGENCY_LABEL,ZIP_CODE
5747,7,,
34019,28,Bordeaux,33126
196429,139,Bordeaux,87500
22177,27,Nice,6690
156737,91,Strasbourg,90160
52000,38,Poitiers,86330
83715,65,Lyon,42330
69525,65,Toulouse,81710
118913,75.216666667,Nantes,49380
119925,86,Bordeaux,24600
87168,66,Metz,57137
78454,70,Tours,36240
188146,121,Montpellier,66220
19033,36,Cergy-Pontoise,95550
70950,53,Toulouse,82130
113569,72,Montpellier,11120
74000,53,Aix-en-Provence,4130
26178,22,Avignon,84190
26640,23,Rouen,76360
11362,29,Paris,92360
130258,79,Clermont-Ferrand,18360
76203,52,Lille,62450
186349,122,Clermont-Ferrand,58130
167836,113,Metz,88120
13735,13,Tours,37170
16212,34,Lyon,69190
12181,14,Aix-en-Provence,13122
115312,74,Bordeaux,16470
119393,81,Toulouse,46170
140860,93,Montpellier,12640
53530,45,Reims,8130
32108,32,Avignon,30290
118971,73.466666667,Tours,72400
65374,42.033333333,Lorient,29500
62091,49,Tours,37240
25982,21,Aix-en-Provence,13011
79321,68,Metz,55200
24071,18,Toulouse,31380
31171,48,Paris,95460
132698,93,Montpellier,34390
30817,22,Lyon,38090
72916,51.916666667,Rennes,22710
100996,69,Reims,60620
16926,35,Les Ulis,78114
145656,112,Toulouse,81230
187185,133,Toulouse,12190
8405,8,Nice,6000
55030,42,Lille,62173
74606,73,Clermont-Ferrand,63690
17607,14,Lyon,69780
225531,154,Montpellier,66230
81342,63,Dijon,71510
26000,30,Nemours,45330
83467,60,Bordeaux,16300
101676,60,Lille,2490
94769,78,Dijon,25440
59000,62,Poitiers,86430
12819,13,Rouen,76160
61708,55,Grenoble,38750
99875,77,Lyon,42610
47051,35.616666667,Nantes,44190
35316,32,Rouen,76760
86239,79.55,Poitiers,49560
33842,33,Aix-en-Provence,13009
24998,42,Cergy-Pontoise,95290
77372,65,Tours,37460
84549,68,Toulouse,82300
101529,64,Lyon,71630
23986,25,Grenoble,38660
103292,64,Dijon,39600
59000,35,Poitiers,86450
119565,77,Melun,45420
121676,79,Toulouse,46000
25982,21,Aix-en-Provence,13015
11477,11,Clermont-Ferrand,63540
77319,56.333333333,Caen,61160
91970,64.933333333,Tours,72330
31560,18,Caen,14310
112809,80,Lille,80400
13272,31,Bordeaux,33600
166895,99,Clermont-Ferrand,19170
59787,36,Strasbourg,57119
53878,39.783333333,Rennes,35390
6257,6,Dijon,21380
106656,79,Bordeaux,40630
158126,103,Bordeaux,16220
144924,99,Reims,52220
7810,9,Dijon,21000
16944,35,Sainte-Geneviève-des-Bois,91280
158119,107,Dijon,25210
71907,46,Bordeaux,33120
92416,55.683333333,Tours,72470
60805,54,Strasbourg,57620
155189,91,Montpellier,66600
114096,70,Melun,89770
110996,82,Toulouse,32410
66954,54,Dijon,71590
86115,55.45,Tours,41700
158272,93,Strasbourg,90000
199929,116,Bordeaux,64200
95884,61,Lyon,1190
53824,43,Aix-en-Provence,13115
80942,49,Rouen,76280
43058,59,Cergy-Pontoise,60460
240657,154,Toulouse,64400
71087,60,Bordeaux,33125
60745,42,Metz,54520
102010,69,Toulouse,11570
198815,120,Clermont-Ferrand,19270
26153,24,Bordeaux,33360
38284,36,Grenoble,38250
43525,36,Dijon,21450
26588,25,Metz,54530
166978,128,Tours,36170
134182,76,Dijon,52150
33116,49,Cergy-Pontoise,95270
58000,46,Nemours,45260
32306,22,Avignon,84860
21164,38,Sainte-Geneviève-des-Bois,91730
14172,17.35,Lorient,56260
131579,80,Dijon,88320
114601,65,Lille,2440
146149,93,Melun,18240
110691,69,Reims,8140
47140,39,Lyon,1240
58016,43,Lille,59264
84228,68,Tours,86120
34301,32,Nice,6190
115201,84,Melun,89210
104571,88,Montpellier,34610
69019,57,Lille,59730
7251,26,Sainte-Geneviève-des-Bois,91160
99448,85,Lille,59219
10436,10,Clermont-Ferrand,63370
24596,24,Rouen,76116
11922,30,Paris,92310
71719,55,Reims,8150
80784,58,Metz,54134
85198,75,Nantes,85630
27818,26,Strasbourg,67490
31000,36,Nemours,91720
169848,131,Tours,36270
71992,47.416666667,Tours,72220
120652,72,Lille,80800
112423,76,Reims,2670
9480,12,Lille,59112
60617,43,Lille,62540
49763,39,Donzère (reprise uniquement),26800
63154,45,Bordeaux,33830
138892,78,Rouen,80690
171421,92,Clermont-Ferrand,19460
91782,58,Lille,59820
143455,94,Lille,62480
65801,46.816666667,Lorient,35235
18882,16,Lille,59162
15407,33,Paris,78220
199764,121,Bordeaux,19130
