TYPE_PANIER,DATE_PANIER,LEAD_ID,VEHICULE_ID,AGENCE_LIVRAISON_COM,PRIX_VENTE_TTC_COM,TYPE_LIVRAISON_COM
Commande,2024-04-02 00:00:00.000,527962765682,99637132606,Melun,23399,En Agence
Commande,2024-02-17 00:00:00.000,1750679887330,98369929889,Donzère,13499,En Agence
Commande,2024-03-04 00:00:00.000,1754309587657,99197236292,Rennes,15899,En Agence
Commande,2024-02-10 00:00:00.000,1742805224622,98153933636,Bordeaux,32499,En Agence
Reprise,2024-02-13 18:02:11.000,1738108386718,,,,
Commande,2024-04-23 00:00:00.000,1766393522113,100205218806,Avignon,18999,En Agence
Commande,2024-03-22 00:00:00.000,1758613952095,98205184891,Melun,21299,En Agence
Reprise,2024-03-18 11:03:13.000,1755195678632,,,,
Commande,2024-01-23 00:00:00.000,1743785420311,96653939074,Les Ulis,15499,En Agence
Commande,2024-04-25 00:00:00.000,1736680637901,100269684240,Bordeaux,26999,A Domicile
Commande,2024-03-02 00:00:00.000,1754261300330,98362026081,Les Ulis,27999,En Agence
Commande,2024-03-17 00:00:00.000,1754557693130,98930112281,Les Ulis,28639,En Agence
Commande,2024-03-26 00:00:00.000,1602102128594,98757710469,Donzère,26799,A Domicile
Reprise,2024-03-26 09:03:22.000,1757832339582,,,,
Commande,2024-03-05 00:00:00.000,1753946629974,98383391062,Bordeaux,14799,En Agence
Commande,2024-04-08 00:00:00.000,1529562584231,99913765886,Bordeaux,27999,A Domicile
Reprise,2024-03-20 15:03:30.000,1753394721881,,,,
Commande,2024-01-25 00:00:00.000,1745346051900,95263115860,Rouen,18999,En Agence
Commande,2024-05-06 00:00:00.000,1621638736509,100650548988,Dijon,13999,En Agence
Commande,2024-03-19 00:00:00.000,735560234706,99204646112,Lyon,22499,En Agence
Commande,2024-04-29 00:00:00.000,1766961484816,99887337528,Aix-en-Provence,20499,En Agence
Reprise,2024-04-26 11:04:51.000,222976179943,,,,
Reprise,2024-05-25 18:05:45.000,1770880909105,,,,
Reprise,2024-04-06 20:04:11.000,1751403456253,,,,
Commande,2024-05-09 00:00:00.000,1763737842625,99442995322,Melun,27499,En Agence
Commande,2024-03-09 00:00:00.000,1733811555597,98383020571,Toulon,24299,En Agence
Commande,2024-03-06 00:00:00.000,1755506150090,98934681670,Cannes,11999,En Agence
Commande,2024-03-18 00:00:00.000,1747264083807,99466830243,Montpellier,31699,A Domicile
Commande,2024-03-04 00:00:00.000,1754179668813,98712510567,Montpellier,21499,En Agence
Commande,2024-01-16 00:00:00.000,1742840297770,96172671265,Rouen,15499,En Agence
Commande,2024-04-20 00:00:00.000,1766077616787,98033524061,Nemours,16499,En Agence
Reprise,2024-03-30 16:03:38.000,1755488860510,,,,
Reprise,2024-03-27 14:03:08.000,1523248429615,,,,
Reprise,2024-05-29 18:05:31.000,1756294060950,,,,
Commande,2024-05-09 00:00:00.000,1770107447394,99981812733,Saint-Germain-en-Laye,12499,En Agence
Commande,2024-02-10 00:00:00.000,1749843565646,98280147570,Cannes,15499,En Agence
Commande,2024-05-23 00:00:00.000,1505898830073,98549371030,Metz,27999,En Agence
Commande,2024-02-02 00:00:00.000,1745853748067,98129234236,Toulouse,35499,A Domicile
Commande,2024-01-31 00:00:00.000,1746912981836,96713464628,Grenoble,30699,En Agence
Commande,2024-01-13 00:00:00.000,1743395046294,97241414303,Donzère,18499,En Agence
Commande,2024-04-26 00:00:00.000,1515103308477,98397346223,Toulouse,23899,En Agence
Commande,2024-03-20 00:00:00.000,1540284964262,98576046382,Rouen,20499,A Domicile
Commande,2024-03-09 00:00:00.000,1752918764443,98084528322,Lyon,24299,En Agence
Commande,2024-01-24 00:00:00.000,1746236094779,97274264505,Cergy-Pontoise,8499,En Agence
Commande,2024-04-05 00:00:00.000,1046776132622,98655948941,Brest,23499,A Domicile
Commande,2024-01-29 00:00:00.000,1743963502985,97860751758,Annecy,27999,A Domicile
Reprise,2024-04-03 17:04:11.000,1043189779742,,,,
Commande,2024-02-21 00:00:00.000,1752140980337,97890144044,Rouen,23899,En Agence
Commande,2024-02-01 00:00:00.000,1747522686525,96803617438,Strasbourg,14179,A Domicile
Commande,2024-04-09 00:00:00.000,1763620026487,99460161405,Cergy-Pontoise,18999,En Agence
Reprise,2024-02-19 13:02:03.000,1744238036816,,,,
Commande,2024-05-28 00:00:00.000,1767999477101,96828563832,Grenoble,27299,A Domicile
Commande,2024-03-14 00:00:00.000,481258423228,99356547422,Bordeaux,18299,En Agence
Commande,2024-02-19 00:00:00.000,1751358997333,98128987242,Poitiers,13999,En Agence
Commande,2024-05-03 00:00:00.000,1767520185244,100020220300,Grenoble,13999,En Agence
Commande,2024-01-23 00:00:00.000,1745157965969,97488037812,Grenoble,23699,En Agence
Commande,2024-05-15 00:00:00.000,1770077314126,100880253408,Rouen,18899,En Agence
Commande,2024-03-15 00:00:00.000,1757392690262,98902201959,Les Ulis,26399,En Agence
Commande,2024-03-02 00:00:00.000,1108720869355,99006186433,Rouen,34899,En Agence
Commande,2024-04-04 00:00:00.000,1761907493588,97855811878,Annecy,11499,A Domicile
Commande,2024-01-12 00:00:00.000,1742564528969,97064690096,Saint-Germain-en-Laye,22999,En Agence
Commande,2024-05-02 00:00:00.000,1764873397540,99920187730,Lyon,26999,En Agence
Commande,2024-03-29 00:00:00.000,1756947730571,98202344460,Nantes,14499,A Domicile
Commande,2024-01-08 00:00:00.000,1011237277435,91446317578,Saint-Germain-en-Laye,23499,En Agence
Commande,2024-05-27 00:00:00.000,1000957263658,100608560008,Cergy-Pontoise,14799,En Agence
Commande,2024-03-12 00:00:00.000,1755945799410,98946166891,Cergy-Pontoise,26199,En Agence
Commande,2024-04-16 00:00:00.000,1733466751973,99674058209,Grenoble,19999,En Agence
Commande,2024-02-16 00:00:00.000,1751125341009,97579178598,Rouen,12999,En Agence
Commande,2024-05-21 00:00:00.000,550677939383,100242761894,Aix-en-Provence,39699,En Agence
Commande,2024-03-07 00:00:00.000,1753883646504,98018580924,Rouen,13799,En Agence
Commande,2024-01-19 00:00:00.000,1113526014128,97153854930,Cergy-Pontoise,28999,En Agence
Commande,2024-03-07 00:00:00.000,1511929559074,98305587952,Aix-en-Provence,25899,En Agence
Commande,2024-01-13 00:00:00.000,1743772453126,97325639257,Saint-Germain-en-Laye,16799,En Agence
Commande,2024-03-20 00:00:00.000,1754209802081,98521707702,Saint-Germain-en-Laye,25999,A Domicile
Commande,2024-01-19 00:00:00.000,1743650438090,97546081402,Saint-Germain-en-Laye,33199,A Domicile
Commande,2024-04-20 00:00:00.000,1765927567932,99477574482,Cergy-Pontoise,9799,A Domicile
Commande,2024-03-06 00:00:00.000,1755193332189,98424639060,Caen,12999,En Agence
Commande,2024-01-10 00:00:00.000,1742571074310,97234004483,Toulon,29999,En Agence
Reprise,2024-02-27 11:02:51.000,1744455391536,,,,
Commande,2024-02-21 00:00:00.000,1750715330969,97203130233,Toulon,9899,En Agence
Commande,2024-02-26 00:00:00.000,1752704744142,98888370295,Cergy-Pontoise,17299,En Agence
Commande,2024-03-09 00:00:00.000,1491585404276,98706088723,Les Ulis,22999,En Agence
Commande,2024-04-25 00:00:00.000,1060776617021,100108026667,Rouen,19999,A Domicile
Commande,2024-05-11 00:00:00.000,1770442865246,100278823018,Avignon,19499,En Agence
Commande,2024-04-05 00:00:00.000,1762691699538,64381456040,Cannes,9999,En Agence
Reprise,2024-02-08 11:02:17.000,1740832607041,,,,
Commande,2024-03-17 00:00:00.000,1663982893881,99008903367,Grenoble,26299,A Domicile
Commande,2024-01-15 00:00:00.000,1743730464146,97397267517,Clermont-Ferrand,16399,En Agence
Commande,2024-02-26 00:00:00.000,1751311450988,97495571129,Grenoble,23799,En Agence
Commande,2024-03-02 00:00:00.000,1673099565918,99006556924,Nemours,12799,En Agence
Commande,2024-04-22 00:00:00.000,1766265455724,99606134859,Lyon,26999,En Agence
Commande,2024-02-14 00:00:00.000,1748001360897,97958561382,Avignon,15999,En Agence
Commande,2024-03-09 00:00:00.000,1755975068199,97735525800,Bordeaux,18499,En Agence
Commande,2024-02-09 00:00:00.000,1748999710645,97622155554,Nantes,30999,A Domicile
Reprise,2024-03-18 10:03:20.000,1756092390349,,,,
Commande,2024-01-08 00:00:00.000,1052339795969,96871540788,Les Ulis,22999,En Agence
Commande,2024-05-11 00:00:00.000,1770793349732,100243873367,Melun,31999,En Agence
Commande,2024-03-02 00:00:00.000,1753986643002,98878737529,Dijon,13999,En Agence
Reprise,2024-02-27 14:02:26.000,1752004763146,,,,
Commande,2024-04-02 00:00:00.000,1759599087664,99796567233,Melun,19899,En Agence
