High Temp,Low Temp,Precipitation,Count
42.1,26.1,0,1416.0
45.0,30,0,1885.0
48.9,30.9,0,1447.0
57.0,39.9,0,2840.0
62.1,44.6,0,2861.0
64.0,44.1,0,2770.0
66.0,45,0,2384.0
73.9,46,0,3147.0
81.0,52,0,3871.0
71.1,63,0,3501.0
68.0,50,0,3450.0
71.1,50,0,3436.0
68.0,48,0,2798.0
66.9,54,0,3463.0
62.1,46.9,0,3343.0
57.9,48,0,2486.0
64.0,48,0,3199.0
42.1,26.1,0,1416.0
45.0,30,0,1885.0
48.9,30.9,0,1447.0
57.0,39.9,0,2840.0
62.1,44.6,0,2861.0
64.0,44.1,0,2770.0
66.0,45,0,2384.0
73.9,46,0,3147.0
81.0,52,0,3871.0
71.1,63,0,3501.0
68.0,50,0,3450.0
71.1,50,0,3436.0
68.0,48,0,2798.0
66.9,54,0,3463.0
62.1,46.9,0,3343.0
57.9,48,0,2486.0
64.0,48,0,3199.0
42.1,26.1,0,1416.0
45.0,30,0,1885.0
48.9,30.9,0,1447.0
57.0,39.9,0,2840.0
62.1,44.6,0,2861.0
64.0,44.1,0,2770.0
66.0,45,0,2384.0
73.9,46,0,3147.0
81.0,52,0,3871.0
71.1,63,0,3501.0
68.0,50,0,3450.0
71.1,50,0,3436.0
68.0,48,0,2798.0
66.9,54,0,3463.0
62.1,46.9,0,3343.0
57.9,48,0,2486.0
64.0,48,0,3199.0
42.1,26.1,0,1416.0
45.0,30,0,1885.0
48.9,30.9,0,1447.0
57.0,39.9,0,2840.0
62.1,44.6,0,2861.0
64.0,44.1,0,2770.0
66.0,45,0,2384.0
73.9,46,0,3147.0
81.0,52,0,3871.0
71.1,63,0,3501.0
68.0,50,0,3450.0
71.1,50,0,3436.0
68.0,48,0,2798.0
66.9,54,0,3463.0
62.1,46.9,0,3343.0
57.9,48,0,2486.0
64.0,48,0,3199.0
42.1,26.1,0,1416.0
45.0,30,0,1885.0
48.9,30.9,0,1447.0
57.0,39.9,0,2840.0
62.1,44.6,0,2861.0
64.0,44.1,0,2770.0
66.0,45,0,2384.0
73.9,46,0,3147.0
81.0,52,0,3871.0
71.1,63,0,3501.0
68.0,50,0,3450.0
71.1,50,0,3436.0
68.0,48,0,2798.0
66.9,54,0,3463.0
62.1,46.9,0,3343.0
57.9,48,0,2486.0
64.0,48,0,3199.0
42.1,26.1,0,1416.0
45.0,30,0,1885.0
48.9,30.9,0,1447.0
57.0,39.9,0,2840.0
62.1,44.6,0,2861.0
64.0,44.1,0,2770.0
66.0,45,0,2384.0
73.9,46,0,3147.0
81.0,52,0,3871.0
71.1,63,0,3501.0
68.0,50,0,3450.0
71.1,50,0,3436.0
68.0,48,0,2798.0
66.9,54,0,3463.0
62.1,46.9,0,3343.0
57.9,48,0,2486.0
64.0,48,0,3199.0
42.1,26.1,0,1416.0
45.0,30,0,1885.0
48.9,30.9,0,1447.0
57.0,39.9,0,2840.0
62.1,44.6,0,2861.0
64.0,44.1,0,2770.0
66.0,45,0,2384.0
73.9,46,0,3147.0
81.0,52,0,3871.0
71.1,63,0,3501.0
68.0,50,0,3450.0
71.1,50,0,3436.0
68.0,48,0,2798.0
66.9,54,0,3463.0
62.1,46.9,0,3343.0
57.9,48,0,2486.0
64.0,48,0,3199.0
78.1,66,0.01,1704.0
46.9,44.1,0.01,1982.0
62.1,46,0.01,2005.0
78.1,66,0.01,1704.0
46.9,44.1,0.01,1982.0
62.1,46,0.01,2005.0
78.1,66,0.01,1704.0
46.9,44.1,0.01,1982.0
62.1,46,0.01,2005.0
78.1,66,0.01,1704.0
46.9,44.1,0.01,1982.0
62.1,46,0.01,2005.0
78.1,66,0.01,1704.0
46.9,44.1,0.01,1982.0
62.1,46,0.01,2005.0
78.1,66,0.01,1704.0
46.9,44.1,0.01,1982.0
62.1,46,0.01,2005.0
78.1,66,0.01,1704.0
46.9,44.1,0.01,1982.0
62.1,46,0.01,2005.0
