"Y" "X1" "X2" "X3"
"1" 42 1 "0"
"0" 46 98 "0"
"1" 47 51 "0"
"1" 54 70 "1"
"0" 47 93 "1"
"1" 43 75 "0"
"1" 69 7 "1"
"0" 67 25 "0"
"0" 60 97 "0"
"0" 65 85 "0"
"0" 60 74 "1"
"0" 53 5 "0"
"0" 42 1 "1"
"0" 70 81 "0"
"0" 40 80 "1"
"0" 62 2 "0"
"0" 34 49 "0"
"0" 68 57 "0"
"1" 64 21 "1"
"0" 39 100 "1"
"0" 69 0 "0"
"1" 36 1 "0"
"1" 65 86 "1"
"0" 56 58 "0"
"1" 41 33 "0"
"1" 40 50 "0"
"1" 41 92 "0"
"1" 34 44 "1"
"1" 43 25 "0"
"1" 63 48 "1"
"1" 54 93 "1"
"1" 41 77 "0"
"0" 35 54 "1"
"0" 38 39 "0"
"0" 60 71 "1"
"1" 68 21 "1"
"1" 40 10 "0"
"0" 58 48 "0"
"0" 60 30 "0"
"0" 36 90 "1"
"0" 53 47 "0"
"0" 47 97 "0"
"0" 46 83 "1"
"0" 66 79 "1"
"1" 36 15 "1"
"0" 48 56 "1"
"1" 46 82 "0"
"0" 56 56 "1"
"1" 50 17 "1"
"0" 49 49 "1"
"0" 50 64 "0"
"1" 33 41 "0"
"0" 42 82 "1"
"0" 50 83 "0"
"0" 63 61 "0"
"0" 30 78 "1"
"1" 69 58 "1"
"0" 64 8 "0"
"1" 57 27 "1"
"0" 65 57 "0"
"1" 38 92 "0"
"0" 51 51 "0"
"0" 60 93 "1"
"1" 59 26 "1"
"1" 32 26 "0"
"1" 33 53 "0"
"0" 58 72 "0"
"0" 51 94 "0"
"0" 60 97 "0"
"1" 54 80 "1"
"1" 42 26 "0"
"1" 42 17 "0"
"0" 52 3 "0"
"0" 67 26 "0"
"0" 46 1 "1"
"1" 53 50 "1"
"1" 32 22 "1"
"0" 34 82 "1"
"1" 43 77 "1"
"0" 48 6 "1"
"1" 43 96 "0"
"0" 65 43 "0"
"1" 61 11 "1"
"1" 32 43 "0"
"0" 33 96 "1"
"1" 34 75 "1"
"0" 64 25 "0"
"0" 69 47 "0"
"0" 38 77 "1"
"1" 63 48 "1"
"1" 62 78 "1"
"0" 45 86 "1"
"0" 38 33 "1"
"0" 41 78 "1"
"1" 51 51 "1"
"0" 61 46 "0"
"0" 30 98 "1"
"1" 58 60 "1"
"0" 32 50 "1"
"0" 67 14 "0"
"0" 61 87 "0"
"0" 41 90 "0"
"1" 33 76 "0"
"1" 35 27 "0"
"1" 46 26 "0"
"1" 47 91 "1"
"0" 38 72 "1"
"0" 34 27 "1"
"0" 35 16 "1"
"1" 39 15 "0"
"0" 44 100 "1"
"0" 44 1 "0"
"1" 32 28 "1"
"0" 60 15 "0"
"1" 45 98 "1"
"0" 31 82 "1"
"1" 48 3 "0"
"0" 36 54 "1"
"1" 37 27 "0"
"1" 43 82 "0"
"0" 45 88 "0"
"0" 51 5 "0"
"1" 37 40 "0"
"0" 37 98 "1"
"0" 47 40 "1"
"1" 40 8 "0"
"1" 40 9 "0"
"1" 54 10 "0"
"1" 33 85 "0"
"1" 60 22 "0"
"0" 32 21 "0"
"1" 32 71 "0"
"1" 43 41 "0"
"0" 53 10 "0"
"0" 35 47 "1"
"0" 34 40 "1"
"1" 60 36 "1"
"1" 63 11 "1"
"0" 44 74 "1"
"1" 50 84 "1"
"0" 62 90 "0"
"1" 52 100 "1"
"1" 56 40 "1"
"0" 64 96 "0"
"1" 31 40 "0"
"0" 36 11 "1"
"0" 32 93 "1"
"0" 56 95 "0"
"1" 59 44 "1"
"1" 43 14 "0"
"0" 61 69 "0"
"1" 35 82 "0"
"1" 65 42 "0"
"1" 47 59 "1"
"1" 66 5 "0"
"0" 59 28 "0"
"1" 61 1 "1"
"0" 52 5 "0"
"1" 69 35 "1"
"0" 44 78 "1"
"0" 35 76 "1"
"1" 46 46 "0"
"1" 54 78 "0"
"0" 31 45 "1"
"0" 32 77 "1"
"1" 46 91 "0"
"1" 39 91 "0"
"1" 67 22 "1"
"1" 33 59 "0"
"0" 42 52 "1"
"0" 47 36 "1"
"0" 49 7 "1"
"0" 58 79 "0"
"0" 49 34 "1"
"1" 45 69 "0"
"1" 41 33 "0"
"1" 33 47 "0"
"1" 66 62 "1"
"1" 42 88 "0"
"0" 69 23 "0"
"1" 35 42 "0"
"0" 49 81 "1"
"1" 54 18 "1"
"1" 33 30 "0"
"0" 53 91 "0"
"0" 59 11 "1"
"1" 50 57 "1"
"1" 51 98 "0"
"1" 60 14 "0"
"0" 64 58 "0"
"0" 31 48 "1"
"1" 58 63 "1"
"1" 40 16 "0"
"1" 39 65 "0"
"0" 38 64 "0"
"1" 42 97 "0"
"1" 65 76 "1"
"1" 39 23 "1"
"0" 60 41 "0"
"1" 35 92 "0"
"1" 40 91 "1"
"1" 38 26 "0"
"1" 53 9 "0"
"1" 46 28 "0"
"0" 33 56 "1"
"0" 64 22 "0"
"0" 70 69 "0"
"1" 53 16 "1"
"1" 33 7 "1"
"1" 62 51 "1"
"0" 51 56 "0"
"1" 41 35 "0"
"1" 63 35 "1"
"1" 37 90 "1"
"0" 44 30 "1"
"0" 34 25 "1"
"1" 45 35 "0"
"0" 41 56 "1"
"0" 31 43 "1"
"0" 59 32 "0"
"0" 55 42 "0"
"1" 30 87 "0"
"0" 57 75 "0"
"1" 59 57 "1"
"0" 69 62 "0"
"1" 45 30 "0"
"0" 61 48 "0"
"0" 54 64 "0"
"1" 47 63 "0"
"0" 64 52 "1"
"0" 59 9 "0"
"1" 68 31 "0"
"0" 30 9 "1"
"1" 66 35 "1"
"0" 31 15 "1"
"1" 46 44 "1"
"1" 51 62 "1"
"0" 67 17 "1"
"1" 50 23 "1"
"0" 63 20 "0"
"1" 60 24 "1"
"1" 32 35 "0"
"0" 64 83 "0"
"1" 60 93 "1"
"1" 42 13 "0"
"1" 57 43 "1"
"1" 59 96 "1"
"1" 65 54 "1"
"0" 47 31 "0"
"1" 34 7 "0"
"0" 64 0 "1"
"1" 51 20 "0"
"1" 36 36 "0"
"0" 41 73 "1"
"1" 42 24 "0"
"1" 70 16 "1"
"1" 58 3 "1"
"1" 59 45 "1"
"0" 62 85 "0"
"1" 47 83 "0"
"1" 31 83 "0"
"1" 44 87 "0"
"1" 67 51 "1"
"0" 44 34 "1"
"0" 56 78 "0"
"1" 62 17 "1"
"0" 38 30 "1"
"0" 42 82 "1"
"0" 68 68 "0"
"0" 35 1 "1"
"1" 62 20 "1"
"1" 40 71 "0"
"1" 53 76 "1"
"0" 70 85 "1"
"1" 61 76 "1"
"0" 68 22 "0"
"0" 49 83 "1"
"0" 62 9 "0"
"1" 46 39 "0"
"1" 39 62 "0"
"1" 54 37 "0"
"1" 50 58 "1"
"1" 54 72 "1"
"0" 66 40 "1"
"1" 59 9 "1"
"0" 68 8 "0"
"1" 70 52 "1"
"1" 55 88 "1"
"0" 53 84 "0"
"0" 34 83 "1"
"0" 43 22 "1"
"1" 59 59 "1"
"1" 39 73 "0"
"1" 43 44 "0"
"1" 38 61 "0"
"0" 48 50 "1"
"1" 65 47 "1"
"0" 50 49 "0"
"0" 34 63 "1"
"0" 51 53 "0"
"1" 44 2 "0"
"1" 54 77 "1"
"1" 60 59 "0"
"0" 36 95 "1"
"1" 51 46 "1"
"1" 33 3 "1"
"0" 37 88 "0"
"1" 57 92 "1"
"0" 32 98 "1"
"1" 43 92 "0"
"0" 37 86 "0"
"0" 68 66 "0"
"1" 44 14 "0"
"1" 36 44 "0"
"0" 64 93 "0"
"0" 66 3 "0"
"1" 62 19 "1"
"0" 66 30 "0"
"0" 62 2 "1"
"0" 52 43 "0"
"1" 49 68 "0"
"1" 62 53 "1"
"1" 70 52 "1"
"1" 41 34 "0"
"0" 59 86 "0"
"0" 56 33 "0"
"1" 50 43 "1"
"1" 61 17 "1"
"0" 34 75 "0"
"0" 62 38 "0"
"1" 66 95 "1"
"1" 59 24 "1"
"1" 31 51 "0"
"1" 65 66 "1"
"1" 55 87 "1"
"0" 67 92 "0"
"1" 32 3 "0"
"1" 51 94 "1"
"0" 53 20 "0"
"0" 65 21 "0"
"0" 38 41 "1"
"1" 50 95 "1"
"1" 57 3 "1"
"1" 52 50 "0"
"1" 54 79 "1"
"0" 62 72 "1"
"1" 55 67 "1"
"1" 59 25 "1"
"1" 32 88 "1"
"0" 60 27 "0"
"1" 57 91 "1"
"0" 51 22 "1"
"1" 40 5 "0"
"0" 49 10 "1"
"1" 33 78 "0"
"0" 66 1 "1"
"0" 64 51 "0"
"0" 66 6 "1"
"0" 69 25 "0"
"1" 56 17 "0"
"0" 59 79 "0"
"0" 58 95 "0"
"0" 63 12 "0"
"0" 35 93 "1"
"1" 53 75 "0"
"1" 66 72 "1"
"0" 51 98 "0"
"1" 60 45 "1"
"1" 51 71 "1"
"0" 68 41 "1"
"0" 65 27 "0"
"1" 65 55 "0"
"1" 55 44 "1"
"1" 51 73 "1"
"0" 56 41 "0"
"0" 44 55 "1"
"0" 48 90 "0"
"0" 55 39 "1"
"1" 53 50 "1"
"1" 53 53 "1"
"1" 70 80 "1"
"1" 43 61 "0"
"0" 60 55 "0"
"1" 67 55 "1"
"0" 60 73 "0"
"1" 44 96 "0"
"0" 39 89 "1"
"1" 65 61 "1"
"1" 41 34 "0"
"0" 64 35 "0"
"1" 51 93 "1"
"0" 54 65 "0"
"0" 41 31 "1"
"1" 35 41 "0"
"1" 38 64 "0"
"1" 51 30 "1"
"1" 58 86 "0"
"1" 54 14 "1"
"0" 58 88 "0"
"0" 67 23 "0"
"0" 54 12 "0"
"0" 43 91 "1"
"1" 40 17 "0"
"0" 50 40 "1"
"1" 61 81 "1"
"1" 41 88 "0"
"0" 67 7 "0"
"0" 42 56 "1"
"1" 40 65 "0"
"0" 31 38 "0"
"0" 64 14 "0"
"0" 58 96 "0"
"1" 37 58 "0"
"0" 69 85 "0"
"1" 54 69 "0"
"1" 62 24 "1"
"1" 58 95 "0"
"1" 63 90 "1"
"1" 33 37 "0"
"1" 57 40 "1"
"1" 55 98 "1"
"0" 53 88 "0"
"0" 33 59 "1"
"1" 41 82 "0"
"1" 35 40 "0"
"0" 39 79 "1"
"0" 68 4 "1"
"1" 54 63 "1"
"1" 67 14 "1"
"1" 37 89 "0"
"1" 47 21 "0"
"0" 66 61 "0"
"1" 48 94 "0"
"1" 55 37 "0"
"1" 41 24 "0"
"1" 59 33 "1"
