timestamp,power_wahoo,cadence_wahoo,power_assioma,cadence_assioma,power_diff
2026-01-15 10:54:38+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:54:39+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:54:40+00:00,6.0,0.0,0.0,0.0,6.0
2026-01-15 10:54:41+00:00,8.0,28.0,0.0,0.0,8.0
2026-01-15 10:54:42+00:00,0.0,18.0,0.0,0.0,0.0
2026-01-15 10:54:43+00:00,0.0,8.0,0.0,0.0,0.0
2026-01-15 10:54:44+00:00,3.0,0.0,0.0,0.0,3.0
2026-01-15 10:54:45+00:00,11.0,42.0,63.0,17.0,-52.0
2026-01-15 10:54:46+00:00,10.0,27.0,63.0,17.0,-53.0
2026-01-15 10:54:47+00:00,0.0,12.0,0.0,17.0,0.0
2026-01-15 10:54:48+00:00,0.0,0.0,0.0,17.0,0.0
2026-01-15 10:54:49+00:00,10.0,0.0,0.0,17.0,10.0
2026-01-15 10:54:50+00:00,15.0,36.0,21.0,13.0,-6.0
2026-01-15 10:54:51+00:00,0.0,21.0,0.0,13.0,0.0
2026-01-15 10:54:52+00:00,0.0,6.0,0.0,13.0,0.0
2026-01-15 10:54:53+00:00,0.0,0.0,0.0,13.0,0.0
2026-01-15 10:54:54+00:00,0.0,0.0,0.0,13.0,0.0
2026-01-15 10:54:55+00:00,0.0,0.0,0.0,13.0,0.0
2026-01-15 10:54:56+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:54:57+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:54:58+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:54:59+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:55:00+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:55:01+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:55:02+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:55:03+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:55:04+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:55:05+00:00,51.0,27.0,0.0,0.0,51.0
2026-01-15 10:55:06+00:00,150.0,29.0,119.0,24.0,31.0
2026-01-15 10:55:07+00:00,192.0,28.0,119.0,24.0,73.0
2026-01-15 10:55:08+00:00,216.0,30.0,200.0,28.0,16.0
2026-01-15 10:55:09+00:00,253.0,33.0,200.0,28.0,53.0
2026-01-15 10:55:10+00:00,299.0,60.0,246.0,33.0,53.0
2026-01-15 10:55:11+00:00,290.0,88.0,362.0,63.0,-72.0
2026-01-15 10:55:12+00:00,201.0,99.0,250.0,86.0,-49.0
2026-01-15 10:55:13+00:00,133.0,103.0,132.0,99.0,1.0
2026-01-15 10:55:14+00:00,80.0,104.0,63.0,103.0,17.0
2026-01-15 10:55:15+00:00,32.0,92.0,36.0,98.0,-4.0
2026-01-15 10:55:16+00:00,5.0,63.0,11.0,83.0,-6.0
2026-01-15 10:55:17+00:00,0.0,33.0,11.0,83.0,-11.0
2026-01-15 10:55:18+00:00,0.0,2.0,0.0,77.0,0.0
2026-01-15 10:55:19+00:00,0.0,0.0,0.0,71.0,0.0
2026-01-15 10:55:20+00:00,0.0,0.0,0.0,71.0,0.0
2026-01-15 10:55:21+00:00,8.0,86.0,0.0,72.0,8.0
2026-01-15 10:55:22+00:00,20.0,67.0,13.0,72.0,7.0
2026-01-15 10:55:23+00:00,31.0,61.0,13.0,72.0,18.0
2026-01-15 10:55:24+00:00,58.0,59.0,22.0,72.0,36.0
2026-01-15 10:55:25+00:00,88.0,59.0,23.0,61.0,65.0
2026-01-15 10:55:26+00:00,108.0,62.0,88.0,59.0,20.0
2026-01-15 10:55:27+00:00,106.0,66.0,108.0,62.0,-2.0
2026-01-15 10:55:28+00:00,82.0,67.0,89.0,66.0,-7.0
2026-01-15 10:55:29+00:00,72.0,67.0,61.0,67.0,11.0
2026-01-15 10:55:30+00:00,78.0,67.0,76.0,67.0,2.0
2026-01-15 10:55:31+00:00,79.0,68.0,76.0,67.0,3.0
2026-01-15 10:55:32+00:00,66.0,68.0,60.0,68.0,6.0
2026-01-15 10:55:33+00:00,55.0,66.0,38.0,67.0,17.0
2026-01-15 10:55:34+00:00,61.0,64.0,55.0,65.0,6.0
2026-01-15 10:55:35+00:00,73.0,64.0,68.0,64.0,5.0
2026-01-15 10:55:36+00:00,88.0,65.0,76.0,64.0,12.0
2026-01-15 10:55:37+00:00,93.0,67.0,90.0,65.0,3.0
2026-01-15 10:55:38+00:00,82.0,68.0,90.0,67.0,-8.0
