timestamp,power_wahoo,cadence_wahoo,power_assioma,cadence_assioma,power_diff
2026-01-15 10:30:52+00:00,0.0,0.0,43.0,0.0,-43.0
2026-01-15 10:30:53+00:00,0.0,0.0,43.0,31.0,-43.0
2026-01-15 10:30:54+00:00,5.0,36.0,85.0,31.0,-80.0
2026-01-15 10:30:55+00:00,7.0,24.0,0.0,31.0,7.0
2026-01-15 10:30:56+00:00,0.0,13.0,0.0,31.0,0.0
2026-01-15 10:30:57+00:00,0.0,1.0,0.0,31.0,0.0
2026-01-15 10:30:58+00:00,6.0,0.0,0.0,31.0,6.0
2026-01-15 10:30:59+00:00,10.0,33.0,0.0,0.0,10.0
2026-01-15 10:31:00+00:00,0.0,20.0,0.0,13.0,0.0
2026-01-15 10:31:01+00:00,0.0,8.0,0.0,13.0,0.0
2026-01-15 10:31:02+00:00,5.0,0.0,19.0,15.0,-14.0
2026-01-15 10:31:03+00:00,8.0,30.0,0.0,15.0,8.0
2026-01-15 10:31:04+00:00,0.0,18.0,0.0,15.0,0.0
2026-01-15 10:31:05+00:00,0.0,5.0,0.0,15.0,0.0
2026-01-15 10:31:06+00:00,0.0,0.0,0.0,15.0,0.0
2026-01-15 10:31:07+00:00,0.0,0.0,0.0,15.0,0.0
2026-01-15 10:31:08+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:09+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:10+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:11+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:12+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:13+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:14+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:15+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:16+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:17+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:18+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:19+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:20+00:00,0.0,0.0,0.0,0.0,0.0
2026-01-15 10:31:21+00:00,20.0,0.0,0.0,0.0,20.0
2026-01-15 10:31:22+00:00,73.0,48.0,0.0,0.0,73.0
2026-01-15 10:31:23+00:00,96.0,55.0,46.0,59.0,50.0
2026-01-15 10:31:24+00:00,65.0,59.0,46.0,59.0,19.0
2026-01-15 10:31:25+00:00,54.0,59.0,65.0,58.0,-11.0
2026-01-15 10:31:26+00:00,64.0,58.0,63.0,57.0,1.0
2026-01-15 10:31:27+00:00,72.0,57.0,77.0,57.0,-5.0
2026-01-15 10:31:28+00:00,79.0,57.0,87.0,58.0,-8.0
2026-01-15 10:31:29+00:00,88.0,58.0,93.0,60.0,-5.0
2026-01-15 10:31:30+00:00,92.0,60.0,78.0,62.0,14.0
2026-01-15 10:31:31+00:00,83.0,61.0,56.0,61.0,27.0
2026-01-15 10:31:32+00:00,68.0,61.0,58.0,61.0,10.0
2026-01-15 10:31:33+00:00,66.0,60.0,74.0,60.0,-8.0
2026-01-15 10:31:34+00:00,75.0,60.0,74.0,60.0,1.0
2026-01-15 10:31:35+00:00,88.0,61.0,95.0,62.0,-7.0
2026-01-15 10:31:36+00:00,96.0,63.0,84.0,65.0,12.0
2026-01-15 10:31:37+00:00,86.0,65.0,49.0,65.0,37.0
2026-01-15 10:31:38+00:00,65.0,64.0,54.0,63.0,11.0
2026-01-15 10:31:39+00:00,61.0,62.0,68.0,61.0,-7.0
2026-01-15 10:31:40+00:00,77.0,62.0,68.0,61.0,9.0
2026-01-15 10:31:41+00:00,99.0,65.0,106.0,66.0,-7.0
2026-01-15 10:31:42+00:00,105.0,68.0,106.0,66.0,-1.0
2026-01-15 10:31:43+00:00,90.0,70.0,56.0,69.0,34.0
2026-01-15 10:31:44+00:00,69.0,69.0,58.0,69.0,11.0
2026-01-15 10:31:45+00:00,66.0,69.0,58.0,69.0,8.0
2026-01-15 10:31:46+00:00,72.0,69.0,58.0,69.0,14.0
2026-01-15 10:31:47+00:00,70.0,68.0,53.0,68.0,17.0
2026-01-15 10:31:48+00:00,64.0,67.0,61.0,66.0,3.0
2026-01-15 10:31:49+00:00,66.0,66.0,72.0,66.0,-6.0
2026-01-15 10:31:50+00:00,76.0,66.0,88.0,66.0,-12.0
2026-01-15 10:31:51+00:00,81.0,67.0,88.0,66.0,-7.0
2026-01-15 10:31:52+00:00,82.0,68.0,88.0,66.0,-6.0
2026-01-15 10:31:53+00:00,81.0,68.0,75.0,68.0,6.0
2026-01-15 10:31:54+00:00,73.0,68.0,65.0,68.0,8.0
2026-01-15 10:31:55+00:00,67.0,67.0,65.0,68.0,2.0
2026-01-15 10:31:56+00:00,69.0,67.0,65.0,68.0,4.0
2026-01-15 10:31:57+00:00,68.0,66.0,66.0,67.0,2.0
2026-01-15 10:31:58+00:00,65.0,65.0,66.0,64.0,-1.0
2026-01-15 10:31:59+00:00,65.0,64.0,62.0,64.0,3.0
2026-01-15 10:32:00+00:00,70.0,63.0,67.0,63.0,3.0
2026-01-15 10:32:01+00:00,74.0,63.0,67.0,63.0,7.0
2026-01-15 10:32:02+00:00,76.0,63.0,69.0,63.0,7.0
