timestamp,power_wahoo,cadence_wahoo,power_assioma,cadence_assioma,power_diff
2026-01-15 13:00:38+00:00,147.0,52.0,142.0,45.0,5.0
2026-01-15 13:00:39+00:00,156.0,59.0,142.0,45.0,14.0
2026-01-15 13:00:40+00:00,163.0,74.0,153.0,63.0,10.0
2026-01-15 13:00:41+00:00,173.0,76.0,156.0,76.0,17.0
2026-01-15 13:00:42+00:00,178.0,76.0,176.0,76.0,2.0
2026-01-15 13:00:43+00:00,167.0,75.0,165.0,76.0,2.0
2026-01-15 13:00:44+00:00,160.0,74.0,147.0,75.0,13.0
2026-01-15 13:00:45+00:00,153.0,73.0,147.0,75.0,6.0
2026-01-15 13:00:46+00:00,149.0,72.0,133.0,73.0,16.0
2026-01-15 13:00:47+00:00,152.0,70.0,136.0,72.0,16.0
2026-01-15 13:00:48+00:00,172.0,71.0,145.0,70.0,27.0
2026-01-15 13:00:49+00:00,190.0,73.0,180.0,71.0,10.0
2026-01-15 13:00:50+00:00,198.0,75.0,191.0,74.0,7.0
2026-01-15 13:00:51+00:00,188.0,76.0,186.0,75.0,2.0
2026-01-15 13:00:52+00:00,173.0,76.0,167.0,77.0,6.0
2026-01-15 13:00:53+00:00,164.0,76.0,157.0,76.0,7.0
2026-01-15 13:00:54+00:00,164.0,75.0,149.0,75.0,15.0
2026-01-15 13:00:55+00:00,175.0,75.0,149.0,75.0,26.0
2026-01-15 13:00:56+00:00,178.0,75.0,170.0,75.0,8.0
2026-01-15 13:00:57+00:00,161.0,75.0,165.0,76.0,-4.0
2026-01-15 13:00:58+00:00,157.0,74.0,148.0,75.0,9.0
2026-01-15 13:00:59+00:00,159.0,73.0,149.0,74.0,10.0
2026-01-15 13:01:00+00:00,154.0,72.0,149.0,73.0,5.0
2026-01-15 13:01:01+00:00,155.0,71.0,150.0,72.0,5.0
2026-01-15 13:01:02+00:00,161.0,71.0,150.0,72.0,11.0
2026-01-15 13:01:03+00:00,158.0,70.0,144.0,71.0,14.0
2026-01-15 13:01:04+00:00,161.0,70.0,148.0,70.0,13.0
2026-01-15 13:01:05+00:00,170.0,71.0,155.0,70.0,15.0
2026-01-15 13:01:06+00:00,176.0,72.0,159.0,71.0,17.0
2026-01-15 13:01:07+00:00,177.0,73.0,161.0,72.0,16.0
2026-01-15 13:01:08+00:00,172.0,73.0,151.0,73.0,21.0
2026-01-15 13:01:09+00:00,163.0,73.0,155.0,73.0,8.0
2026-01-15 13:01:10+00:00,155.0,72.0,151.0,73.0,4.0
2026-01-15 13:01:11+00:00,154.0,71.0,131.0,72.0,23.0
2026-01-15 13:01:12+00:00,168.0,71.0,143.0,71.0,25.0
2026-01-15 13:01:13+00:00,188.0,73.0,163.0,71.0,25.0
2026-01-15 13:01:14+00:00,162.0,73.0,168.0,72.0,-6.0
2026-01-15 13:01:15+00:00,137.0,70.0,165.0,73.0,-28.0
2026-01-15 13:01:16+00:00,136.0,64.0,136.0,71.0,0.0
2026-01-15 13:01:17+00:00,144.0,61.0,109.0,63.0,35.0
2026-01-15 13:01:18+00:00,156.0,61.0,143.0,60.0,13.0
2026-01-15 13:01:19+00:00,164.0,62.0,154.0,61.0,10.0
2026-01-15 13:01:20+00:00,162.0,62.0,154.0,62.0,8.0
2026-01-15 13:01:21+00:00,157.0,63.0,146.0,63.0,11.0
2026-01-15 13:01:22+00:00,156.0,63.0,147.0,63.0,9.0
2026-01-15 13:01:23+00:00,156.0,63.0,151.0,63.0,5.0
2026-01-15 13:01:24+00:00,160.0,63.0,149.0,63.0,11.0
